Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Win,Blue Win
0.11375,0.085625,0.06892857143,0.2025,0.09305555556,0.27025,1,0
0.04928571429,0.36775,0.038125,0.11,0.10575,0.1144444444,1,0
0.0721875,0.0740625,0.0796875,0.1105,0.050625,0.3188636364,1,0
0.09477272727,0.08222222222,0.0428125,0.08678571429,0.3995454545,0.046875,1,0
0.0778125,0.323,0.0859375,0.37425,0.14825,0.11275,0,1
0.0378125,0.3834090909,0.068125,0.3877272727,0.0440625,0.17225,1,0
0.0446875,0.04027777778,0.19025,0.0509375,0.3784090909,0.11375,1,0
0.085625,0.038125,0.09305555556,0.08222222222,0.1105,0.04928571429,1,0
0.0778125,0.37425,0.27025,0.10575,0.09477272727,0.2025,0,1
0.14825,0.1144444444,0.0721875,0.3834090909,0.06892857143,0.0796875,1,0
0.068125,0.3784090909,0.04027777778,0.0428125,0.08678571429,0.3188636364,0,1
0.0859375,0.046875,0.0440625,0.36775,0.0509375,0.3877272727,1,0
0.3995454545,0.0446875,0.0378125,0.19025,0.323,0.11,1,0
0.11275,0.17225,0.1144444444,0.085625,0.0740625,0.050625,0,1
0.10575,0.0778125,0.038125,0.0428125,0.3834090909,0.3784090909,1,0
0.14825,0.36775,0.09477272727,0.1105,0.0721875,0.068125,0,1
0.0446875,0.06892857143,0.11,0.11375,0.323,0.37425,1,0
0.0509375,0.3188636364,0.08222222222,0.2025,0.17225,0.050625,0,1
0.11275,0.04027777778,0.0796875,0.19025,0.0378125,0.0440625,1,0
0.0740625,0.09305555556,0.08678571429,0.27025,0.3877272727,0.046875,1,0
0.3784090909,0.1105,0.3995454545,0.0859375,0.04928571429,0.11375,0,1
0.11,0.068125,0.09477272727,0.085625,0.323,0.08222222222,0,1
0.17225,0.0509375,0.19025,0.0778125,0.06892857143,0.0721875,0,1
0.0428125,0.050625,0.09305555556,0.37425,0.0740625,0.10575,1,0
0.14825,0.04027777778,0.3995454545,0.0859375,0.0378125,0.27025,0,1
0.3834090909,0.08678571429,0.04928571429,0.046875,0.1144444444,0.3188636364,0,1
0.3877272727,0.2025,0.11275,0.0796875,0.0446875,0.36775,0,1
0.0440625,0.3784090909,0.050625,0.038125,0.09477272727,0.323,0,1
0.14825,0.19025,0.085625,0.0428125,0.37425,0.0509375,1,0
0.3188636364,0.09305555556,0.0721875,0.11,0.0859375,0.3995454545,1,0
0.04027777778,0.1105,0.0778125,0.068125,0.1144444444,0.2025,1,0
0.3834090909,0.17225,0.36775,0.0796875,0.27025,0.11375,0,1
0.10575,0.3877272727,0.06892857143,0.038125,0.11275,0.08678571429,0,1
0.0440625,0.08222222222,0.0446875,0.0378125,0.04928571429,0.0740625,0,1
0.37425,0.046875,0.1105,0.0721875,0.3784090909,0.085625,0,1
0.1144444444,0.0509375,0.050625,0.323,0.3995454545,0.068125,1,0
0.2025,0.0796875,0.038125,0.08678571429,0.06892857143,0.0859375,0,1
0.09477272727,0.3188636364,0.0378125,0.0778125,0.11375,0.36775,1,0
0.14825,0.0440625,0.10575,0.19025,0.046875,0.0740625,1,0
0.17225,0.11,0.0428125,0.0446875,0.3877272727,0.04928571429,0,1
0.11275,0.09305555556,0.08222222222,0.3834090909,0.27025,0.04027777778,1,0
0.08678571429,0.050625,0.0378125,0.06892857143,0.2025,0.3784090909,1,0
0.323,0.10575,0.046875,0.0796875,0.085625,0.3188636364,0,1
0.1105,0.0740625,0.0446875,0.09477272727,0.0509375,0.0778125,0,1
0.11275,0.11,0.3834090909,0.3995454545,0.19025,0.0428125,1,0
0.37425,0.0721875,0.3877272727,0.08222222222,0.11375,0.1144444444,0,1
0.27025,0.04928571429,0.14825,0.0440625,0.038125,0.04027777778,0,1
0.36775,0.0859375,0.3784090909,0.09305555556,0.068125,0.17225,0,1
0.10575,0.08678571429,0.0509375,0.11,0.0378125,0.1105,0,1
0.323,0.0446875,0.2025,0.0721875,0.046875,0.3834090909,0,1
0.3995454545,0.038125,0.11375,0.1144444444,0.0796875,0.09477272727,0,1
0.06892857143,0.19025,0.36775,0.04027777778,0.08222222222,0.0740625,0,1
0.3877272727,0.0428125,0.085625,0.050625,0.0859375,0.14825,0,1
0.3188636364,0.068125,0.0778125,0.0440625,0.37425,0.09305555556,1,0
0.27025,0.11275,0.09477272727,0.04928571429,0.17225,0.3784090909,1,0
0.0509375,0.0796875,0.1105,0.08222222222,0.10575,0.3834090909,1,0
0,0.0575,0.01111111111,0.02821428571,0.001071428571,0.006428571429,1,0
0.01214285714,0.2953571429,0.003571428571,0.06392857143,0.008571428571,0.075,0,1
0.04678571429,0.03458333333,0.1329166667,0.21375,0.01607142857,0.3982142857,1,0
0,0,0,0.01857142857,0.4703571429,0.2385714286,1,0
0.2516666667,0.03625,0.1983333333,0.003571428571,0.4142857143,0.2817857143,1,0
0.3833333333,0.4517857143,0.2964285714,0.1507142857,0.02071428571,0.07541666667,0,1
0.0003571428571,0.02142857143,0.005833333333,0.0003571428571,0.01428571429,0.005833333333,0,1
0.2375,0.4478571429,0.007857142857,0.05464285714,0.01071428571,0.0325,0,1
0.21375,0.0003571428571,0.005,0.01214285714,0.08,0.02142857143,0,1
0.2817857143,0.2385714286,0.04678571429,0.4142857143,0.003571428571,0.001071428571,0,1
0.06392857143,0.03458333333,0.01111111111,0.003571428571,0,0.1507142857,1,0
0.02142857143,0.1983333333,0.2953571429,0.2964285714,0.3982142857,0.0575,1,0
0.07541666667,0.0325,0.02821428571,0,0.2516666667,0.0003571428571,1,0
0.01214285714,0.008571428571,0,0.05464285714,0.005833333333,0.4517857143,1,0
0.01607142857,0.075,0.02071428571,0.005833333333,0.4478571429,0.0003571428571,1,0
0.0003571428571,0.1329166667,0.4703571429,0.01428571429,0.03625,0.08,0,1
0,0.006428571429,0.2375,0.007857142857,0.01214285714,0.02142857143,0,1
0.005,0.01857142857,0.001071428571,0.01071428571,0.3833333333,0.0003571428571,1,0
0.008571428571,0.2964285714,0.2385714286,0.01111111111,0.0325,0.01214285714,0,1
0.02821428571,0.21375,0.4142857143,0.4517857143,0.02071428571,0.2953571429,1,0
0.07541666667,0.005833333333,0,0.03625,0.075,0,0,1
0.0003571428571,0.2817857143,0.02142857143,0.01214285714,0.4703571429,0.4478571429,1,0
0.006428571429,0.01428571429,0.06392857143,0.3833333333,0.2375,0.01607142857,1,0
0.005,0.02142857143,0.03458333333,0.007857142857,0.05464285714,0.01857142857,1,0
0,0.1507142857,0.2516666667,0.1329166667,0.0575,0.0003571428571,0,1
0.04678571429,0.003571428571,0.01071428571,0.1983333333,0.08,0,1,0
0.4703571429,0.005833333333,0.003571428571,0.3982142857,0.07541666667,0.01214285714,1,0
0.4517857143,0.03625,0.0003571428571,0.06392857143,0.02142857143,0.2964285714,0,1
0.0325,0.02071428571,0.01428571429,0.01111111111,0.2817857143,0.01214285714,1,0
0.0575,0.0003571428571,0.3833333333,0.2385714286,0.01607142857,0.05464285714,0,1
0.0003571428571,0.006428571429,0.005833333333,0.04678571429,0.4142857143,0.01857142857,1,0
